old_name,input_directory,new_name_1_component,new_name_2_components,new_name_3_components
wf_ollama_qwen2.5vl_latest_narrative_20251011_003231,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_ollama_qwen2.5vl_latest_narrative_20251011_003231,wf_idtexternal_testimages_ollama_qwen2.5vl_latest_narrative_20251011_003231,wf_idt_idtexternal_testimages_ollama_qwen2.5vl_latest_narrative_20251011_003231
wf_openai_gpt-4o-mini_detailed_20251009_162703,c:\idt\testimages,wf_testimages_openai_gpt-4o-mini_detailed_20251009_162703,wf_idt_testimages_openai_gpt-4o-mini_detailed_20251009_162703,wf_c_idt_testimages_openai_gpt-4o-mini_detailed_20251009_162703
wf_openai_gpt-4o-mini_detailed_20251009_163634,C:\idt\testimages,wf_testimages_openai_gpt-4o-mini_detailed_20251009_163634,wf_idt_testimages_openai_gpt-4o-mini_detailed_20251009_163634,wf_c_idt_testimages_openai_gpt-4o-mini_detailed_20251009_163634
wf_openai_gpt-4o-mini_narrative_20251010_205744,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_openai_gpt-4o-mini_narrative_20251010_205744,wf_idtexternal_testimages_openai_gpt-4o-mini_narrative_20251010_205744,wf_idt_idtexternal_testimages_openai_gpt-4o-mini_narrative_20251010_205744
wf_openai_gpt-4o-mini_narrative_20251011_003610,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_openai_gpt-4o-mini_narrative_20251011_003610,wf_bat_testimages_openai_gpt-4o-mini_narrative_20251011_003610,wf_idt_bat_testimages_openai_gpt-4o-mini_narrative_20251011_003610
wf_openai_gpt-4o_detailed_20251009_162624,c:\idt\testimages,wf_testimages_openai_gpt-4o_detailed_20251009_162624,wf_idt_testimages_openai_gpt-4o_detailed_20251009_162624,wf_c_idt_testimages_openai_gpt-4o_detailed_20251009_162624
wf_openai_gpt-4o_detailed_20251009_163630,C:\idt\testimages,wf_testimages_openai_gpt-4o_detailed_20251009_163630,wf_idt_testimages_openai_gpt-4o_detailed_20251009_163630,wf_c_idt_testimages_openai_gpt-4o_detailed_20251009_163630
wf_openai_gpt-4o_narrative_20251010_205401,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_openai_gpt-4o_narrative_20251010_205401,wf_idtexternal_testimages_openai_gpt-4o_narrative_20251010_205401,wf_idt_idtexternal_testimages_openai_gpt-4o_narrative_20251010_205401
wf_openai_gpt-4o_narrative_20251010_205546,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_openai_gpt-4o_narrative_20251010_205546,wf_idtexternal_testimages_openai_gpt-4o_narrative_20251010_205546,wf_idt_idtexternal_testimages_openai_gpt-4o_narrative_20251010_205546
wf_openai_gpt-4o_narrative_20251011_003527,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_openai_gpt-4o_narrative_20251011_003527,wf_bat_testimages_openai_gpt-4o_narrative_20251011_003527,wf_idt_bat_testimages_openai_gpt-4o_narrative_20251011_003527
wf_openai_gpt-5_detailed_20251009_162732,c:\idt\testimages,wf_testimages_openai_gpt-5_detailed_20251009_162732,wf_idt_testimages_openai_gpt-5_detailed_20251009_162732,wf_c_idt_testimages_openai_gpt-5_detailed_20251009_162732
wf_openai_gpt-5_detailed_20251009_163639,C:\idt\testimages,wf_testimages_openai_gpt-5_detailed_20251009_163639,wf_idt_testimages_openai_gpt-5_detailed_20251009_163639,wf_c_idt_testimages_openai_gpt-5_detailed_20251009_163639
wf_openai_gpt-5_detailed_20251009_190832,C:\Users\kelly\GitHub\idt\test_images,wf_test_images_openai_gpt-5_detailed_20251009_190832,wf_idt_test_images_openai_gpt-5_detailed_20251009_190832,wf_github_idt_test_images_openai_gpt-5_detailed_20251009_190832
wf_openai_gpt-5_narrative_20251010_205933,C:\Users\kelly\GitHub\idt\idtexternal\testimages,wf_testimages_openai_gpt-5_narrative_20251010_205933,wf_idtexternal_testimages_openai_gpt-5_narrative_20251010_205933,wf_idt_idtexternal_testimages_openai_gpt-5_narrative_20251010_205933
wf_openai_gpt-5_narrative_20251011_003654,C:\Users\kelly\GitHub\idt\idtexternal\idt\bat\testimages,wf_testimages_openai_gpt-5_narrative_20251011_003654,wf_bat_testimages_openai_gpt-5_narrative_20251011_003654,wf_idt_bat_testimages_openai_gpt-5_narrative_20251011_003654
wf_openai_moondream_narrative_20251009_170808,C:\Users\kelly\GitHub\idt\test_images,wf_test_images_openai_moondream_narrative_20251009_170808,wf_idt_test_images_openai_moondream_narrative_20251009_170808,wf_github_idt_test_images_openai_moondream_narrative_20251009_170808
